healing_avg_per_10m, final_blows_avg_per_10m, role, deaths_avg_per_10m, playerId, name, eliminations_avg_per_10m, teamId, team, ultimates_earned_avg_per_10m, time_played_totalhero_damage_avg_per_10m, 
7438.119964674388, 3.4954453527243468, offense, 5.4020519087558085, 5197, Ado, 12.669262404933699, 7697, WAS, 4.393484672594238, 43427.942560076715160.244561978453, 
8381.211581585098, 3.5994952497596744, offense, 4.384839667889058, 8675, Adora, 14.267090262683801, 7693, HZS, 4.679343824687577, 18335.904181122784971.701139087111, 
9451.76099539948, 3.527658458656351, offense, 5.291487687984526, 4142, Agilities, 15.526847084450946, 4405, VAL, 5.317237019799537, 46603.151049554356066.638943846036, 
8667.148638879224, 2.1868856816477846, support, 4.87616401989033, 8751, Aid, 12.648473942503403, 7695, TOR, 4.10779878039246, 20302.8445302844055287.238728055217, 
9653.127509683563, 3.560618107876597, support, 4.651057403413804, 5863, AimGod, 13.697252783737783, 4402, BOS, 4.6844381981751475, 53923.2218067056912.703365607671, 
57.68316750838419, 6.148609780948789, offense, 4.395838666922663, 3985, aKm, 19.906471937868137, 4523, DAL, 4.85489776821522, 43131.70122158527410265.382553284177, 
4990.147961771174, 1.8119424224932512, support, 4.711050298482453, 8672, alemao, 13.045985441951409, 4402, BOS, 3.261496360487852, 1655.68174946308144793.2680941414355, 
0, 4.845171091855863, tank, 6.379475270943552, 8812, ameng, 15.97560579453586, 7692, CDH, 4.737500623147954, 44580.469070136557364.40688417254, 
6278.738882146635, 2.0168369022462356, support, 2.2825279911649012, 4841, Anamo, 16.436616909922915, 4403, NYE, 3.490214758977018, 49681.756560683254702.438288901335, 
7970.0465193219725, 3.1059928899437494, offense, 5.38695641849619, 6981, Apply, 14.122561421462986, 4407, FLA, 4.7075204738209955, 12363.196362853054799.85438443113, 
8496.42934987841, 3.7232499698514845, offense, 4.327020235232806, 5715, Architect, 15.245199200878375, 4404, SFS, 4.830162123050574, 11925.0655635595325164.459846779708, 
7131.876230947408, 2.6275687501441936, offense, 6.3937506253508705, 5508, ArHaN, 9.984761250547935, 4525, HOU, 4.466866875245128, 6850.4392126798634640.182745708597, 
6437.4906580819825, 1.150904729120137, support, 2.997705340964078, 4652, ArK, 7.842211293772097, 7697, WAS, 3.0780010197399017, 22417.146569311622838.563015019329, 
3401.4879205258153, 8.701662022472812, offense, 3.6638576936727634, 4646, Asher, 15.113412986400148, 7695, TOR, 4.121839905381859, 1310.09455096721658421.178551194409, 
0, 3.383387299021946, tank, 6.323051673581998, 5878, Axxiom, 13.589014561645524, 4402, BOS, 3.771644857926104, 10817.5614451766017227.732158597083, 
53.471236103440305, 5.356624558297894, offense, 4.627318867262031, 4491, babybay, 18.509275469048124, 7698, ATL, 4.677615811471401, 23858.30827027559310229.728997412729, 
126.03381541102212, 5.952215048657493, offense, 6.161589447353988, 8896, Baconjack, 15.643258645466677, 7692, CDH, 4.277219859085535, 20059.7591021060947537.754120444914, 
6825.377769646799, 2.102967108822297, support, 5.257417772055742, 4624, Bani, 11.303448209919846, 4525, HOU, 3.6801924404390203, 2282.48933607339864791.691329552008, 
7845.662161749598, 3.6680876292948357, offense, 5.930075000693318, 8676, Bazzi, 15.925613790521744, 7693, HZS, 4.615676933529334, 19628.7568009495745250.646707118291, 
9186.93374544606, 4.483816414465489, support, 3.9664529820271626, 4655, Bdosin, 16.383175360546975, 4410, LDN, 4.762396724239971, 45229.327263653288003.0446458996585, 
9814.683370284985, 3.169769335761314, support, 4.367792391797086, 8731, BEBE, 13.540156414570966, 7693, HZS, 4.94184510614756, 48079.208250463018041.798490884039, 
0, 4.020832140992362, tank, 6.719746865768058, 8708, BenBest, 13.384413839193757, 7694, PAR, 4.626710956758336, 21786.534958004957312.044178425127, 
5437.273707210779, 2.31237416134915, support, 4.562251723742917, 4643, BigG00se, 13.736752450393057, 4406, GLA, 3.4998095415014157, 48002.612144410614487.891819622597, 
6502.277676463536, 5.060298219784782, offense, 4.149444540223522, 4656, BIRDRING, 18.662379834566277, 4410, LDN, 4.534027204927165, 29642.521741807466234.921226456601, 
7206.124433923586, 4.303661207231565, offense, 5.603725530249434, 8184, blase, 15.051606774249981, 4402, BOS, 4.505395326320546, 53535.812626898295231.25796157185, 
5565.062126234238, 2.162141615674619, support, 4.968896880742913, 4625, Boink, 10.837566980431163, 4525, HOU, 3.061914834619957, 44677.924563169483654.065953740342, 
9298.101347394793, 4.189520637595944, support, 4.828830605021299, 4079, Boombox, 15.465860275800612, 4524, PHI, 4.951251662613388, 44110.0584018230447899.161906909332, 
314.71516849538324, 5.0344701714926465, offense, 4.815018907607069, 8704, bqb, 16.78156723830882, 4407, FLA, 4.608476541597114, 46479.568262219439580.226430719002, 
9.339952856567296, 5.442076997711517, tank, 5.815461354329803, 8771, BUMPER, 16.72761917649921, 7696, VAN, 5.152704121332345, 64276.929589033138741.226829096688, 
0, 1.5298621206194096, offense, 10.709034844335868, 4667, Bunny, 4.589586361858229, 4405, VAL, 3.0597242412388193, 392.19220602512365954.415708938859, 
9.752224347138567, 6.214412793767703, offense, 4.5013142099344, 4620, carpe, 18.832269949174368, 4524, PHI, 4.359540534030955, 50785.1683616042149723.944881240946, 
5128.6254037753815, 1.9307685142975861, support, 4.047956057561836, 8721, Chara, 11.371560766966473, 7699, GZC, 3.1158609127285186, 45059.777676999574929.2340707721305, 
2.9884657245856374, 5.645899481054561, tank, 3.0187017298339165, 5831, Choihyobin, 20.265482261376494, 4404, SFS, 2.7817387954100936, 58236.956060469156453.35842925278, 
